Title,Salary,Location,Employment Type,Link
Trainee python developer,28 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-python-developer-IDVPGop.html
Администратор социальных сетей,27 000 - 51 000 грн. / за місяць,Нікополь,Нікополь,https://www.olx.ua/uk/obyavlenie/rabota/administrator-sotsialnyh-setey-IDVQ8OZ.html
Терміново Системний Адміністратор,30 000 - 50 000 грн. / за місяць,Умань,Умань,https://www.olx.ua/uk/obyavlenie/rabota/termnovo-sistemniy-admnstrator-IDVPdkR.html
Профессиональная команда в поиске специалиста в IT сфере,2 000 - 3 000 $ / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/professionalnaya-komanda-v-poiske-spetsialista-v-it-sfere-IDVRBUm.html
Оператор в компьютерный клуб,17 000 - 20 000 грн. / за місяць,"Запоріжжя, Шевченківський","Запоріжжя, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/operator-v-kompyuternyy-klub-IDVRzRs.html
Онлайн робота/Без досвіду/Щоденна оплата/Перекладачем тексту,500 - 700 $ / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/onlayn-robota-bez-dosvdu-schodenna-oplata-perekladachem-tekstu-IDVR4Tu.html
Шукаємо тестера ігор,10 000 - 15 000 грн. / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/shukamo-testera-gor-IDVRzT5.html
Trainee Front-end Developer,25 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-front-end-developer-IDVzf4x.html
Адміністратор в ігровий клуб,16 000 - 20 000 грн. / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/admnstrator-v-groviy-klub-IDVRy9L.html
ІТ-Спеціаліст без досвіду,22 000 - 27 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/t-spetsalst-bez-dosvdu-IDVioCZ.html
Требуется монтажер видео в Capcut,14 000 - 18 000 грн. / за місяць,"Харків, Холодногірський","Харків, Холодногірський",https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-montazher-video-v-capcut-IDVKuPX.html
"HTML-верстальник (без досвіду, з навчанням)",25 000 - 35 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/html-verstalnik-bez-dosvdu-z-navchannyam-IDVitST.html
Оператор комп'ютерного набору,1 000 - 5 000 грн. / за місяць,Рівне,Рівне,https://www.olx.ua/uk/obyavlenie/rabota/operator-kompyuternogo-naboru-IDVRe6X.html
Ремонт зарядных станций и компьютеров,50 000 - 80 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/remont-zaryadnyh-stantsiy-i-kompyuterov-IDVmIOL.html
Майстер по ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-po-remontu-kompyuterno-tehnki-IDTwi7S.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Кривий Ріг, Саксаганський","Кривий Ріг, Саксаганський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTn5gp.html
Администратор социальных сетей,27 000 - 51 000 грн. / за місяць,Нікополь,Нікополь,https://www.olx.ua/uk/obyavlenie/rabota/administrator-sotsialnyh-setey-IDVQ8OZ.html
Контент менеджер,1 000 - 5 000 грн. / за місяць,Черкаси,Черкаси,https://www.olx.ua/uk/obyavlenie/rabota/kontent-menedzher-IDVR0Ey.html
Junior Front-End Developer,30 000 - 40 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/junior-front-end-developer-IDVitSB.html
